exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,FML_alpha,FML_beta,FML_meme_model,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-05 10:17,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,197,0.31631261774048225,False,0.3,0.3,gcn,False,0.3107653089274634
2023-09-05 10:18,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,195,0.29469773725092874,False,0.3,0.3,gcn,False,0.29191875331692957
2023-09-05 10:19,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,182,0.27370153075249565,False,0.3,0.3,gcn,False,0.27111755142433025
2023-09-05 10:20,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,196,0.3245231194902503,False,0.3,0.5,gcn,False,0.31910226072946085
2023-09-05 10:21,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,199,0.29728171657909414,False,0.3,0.5,gcn,False,0.2945027326450949
2023-09-05 10:23,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,189,0.2835041587144506,False,0.3,0.5,gcn,False,0.28221216905036794
2023-09-05 10:24,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,199,0.33433640650718477,False,0.3,1.0,gcn,False,0.32903133874364526
2023-09-05 10:25,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,195,0.3011576855713422,False,0.3,1.0,gcn,False,0.298378701637343
2023-09-05 10:26,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,186,0.3118729530406918,False,0.3,1.0,gcn,False,0.3079969840484437
2023-09-05 10:27,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,135,0.3376577680387675,False,0.5,0.3,gcn,False,0.356431168871969
2023-09-05 10:29,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,183,0.3024496752354249,False,0.5,0.3,gcn,False,0.2996706913014257
2023-09-05 10:30,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,124,0.3667852626783849,False,0.5,0.3,gcn,False,0.37324521099879826
2023-09-05 10:32,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,135,0.3389497577028502,False,0.5,0.5,gcn,False,0.356431168871969
2023-09-05 10:33,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,182,0.3024496752354249,False,0.5,0.5,gcn,False,0.2996706913014257
2023-09-05 10:34,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,125,0.3667852626783849,False,0.5,0.5,gcn,False,0.37324521099879826
2023-09-05 10:36,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,152,0.33507378871060217,False,0.5,1.0,gcn,False,0.356431168871969
2023-09-05 10:37,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,182,0.3024496752354249,False,0.5,1.0,gcn,False,0.2996706913014257
2023-09-05 10:38,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,195,0.37929832002073466,False,0.5,1.0,gcn,False,0.3844662786770654
2023-09-05 10:40,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,174,0.3870227688634418,False,1.0,0.3,gcn,False,0.4199395014479485
2023-09-05 10:41,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,91,0.29728171657909414,False,1.0,0.3,gcn,False,0.2945027326450949
2023-09-05 10:42,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,123,0.37993057028188154,False,1.0,0.3,gcn,False,0.3838065392741296
2023-09-05 10:43,0,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,174,0.3870227688634418,False,1.0,0.5,gcn,False,0.4199395014479485
2023-09-05 10:44,1,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,91,0.29728171657909414,False,1.0,0.5,gcn,False,0.2945027326450949
2023-09-05 10:46,2,fml,SGD,0.01,citeseer,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,123,0.37993057028188154,False,1.0,0.5,gcn,False,0.3838065392741296
