exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,FML_alpha,FML_beta,FML_meme_model,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-07 04:47,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,17,0.6436553953126583,False,0.3,0.3,gcn,False,0.6416637677230221
2023-09-07 04:48,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.5946516669820425,False,0.3,0.3,gcn,False,0.5946516669820425
2023-09-07 04:50,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,69,0.5944212522354987,False,0.3,0.3,gcn,False,0.5944212522354987
2023-09-07 04:51,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,17,0.6432988890737992,False,0.3,0.5,gcn,False,0.6414333529764783
2023-09-07 04:52,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.5946516669820425,False,0.3,0.5,gcn,False,0.5946516669820425
2023-09-07 04:53,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,69,0.5944212522354987,False,0.3,0.5,gcn,False,0.5944212522354987
2023-09-07 04:54,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,17,0.6432988890737992,False,0.3,1.0,gcn,False,0.6446591594280912
2023-09-07 04:56,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.5946516669820425,False,0.3,1.0,gcn,False,0.5946516669820425
2023-09-07 04:57,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,69,0.594190837488955,False,0.3,1.0,gcn,False,0.5939433127364796
2023-09-07 04:58,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.6432988890737992,False,0.5,0.3,gcn,False,0.6524542319639255
2023-09-07 04:59,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.5946516669820425,False,0.5,0.3,gcn,False,0.5946516669820425
2023-09-07 05:00,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,43,0.594190837488955,False,0.5,0.3,gcn,False,0.594190837488955
2023-09-07 05:00,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.6432988890737992,False,0.5,0.5,gcn,False,0.6527051729927836
2023-09-07 05:01,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.5946516669820425,False,0.5,0.5,gcn,False,0.5946516669820425
2023-09-07 05:02,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,43,0.594190837488955,False,0.5,0.5,gcn,False,0.594190837488955
2023-09-07 05:03,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.6432988890737992,False,0.5,1.0,gcn,False,0.6522443434996961
2023-09-07 05:04,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.5946516669820425,False,0.5,1.0,gcn,False,0.5946516669820425
2023-09-07 05:06,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,43,0.5944212522354987,False,0.5,1.0,gcn,False,0.5944212522354987
2023-09-07 05:06,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,5,0.6429128210552325,False,1.0,0.3,gcn,False,0.6820493727279656
2023-09-07 05:07,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.5946516669820425,False,1.0,0.3,gcn,False,0.5946516669820425
2023-09-07 05:09,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,22,0.5946516669820425,False,1.0,0.3,gcn,False,0.5946516669820425
2023-09-07 05:09,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,5,0.6429128210552325,False,1.0,0.5,gcn,False,0.6820493727279656
2023-09-07 05:10,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.5946516669820425,False,1.0,0.5,gcn,False,0.5946516669820425
2023-09-07 05:12,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,22,0.5946516669820425,False,1.0,0.5,gcn,False,0.5946516669820425
2023-09-07 05:13,0,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,5,0.6429128210552325,False,1.0,1.0,gcn,False,0.6820493727279656
2023-09-07 05:13,1,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.5946516669820425,False,1.0,1.0,gcn,False,0.5946516669820425
2023-09-07 05:15,2,fml,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,22,0.5946516669820425,False,1.0,1.0,gcn,False,0.5946516669820425
2023-09-07 05:16,0,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.643407870560183,False,0.3,0.3,gcn,False,0.6787871393528089
2023-09-07 05:18,1,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,0.3,0.3,gcn,False,0.5946516669820425
2023-09-07 05:20,2,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.5946516669820425,False,0.3,0.3,gcn,False,0.5946516669820425
2023-09-07 05:21,0,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.643407870560183,False,0.3,0.5,gcn,False,0.6777833752373759
2023-09-07 05:22,1,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,0.3,0.5,gcn,False,0.5946516669820425
2023-09-07 05:24,2,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.5946516669820425,False,0.3,0.5,gcn,False,0.5946516669820425
2023-09-07 05:25,0,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.6431603458077078,False,0.3,1.0,gcn,False,0.6848097240454061
2023-09-07 05:26,1,fml,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,0.3,1.0,gcn,False,0.5946516669820425
