exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023/9/3 16:15,0,fedgh,SGD,0.01,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,141,0.6945625,FALSE,FALSE,0.698015046
2023/9/3 16:20,1,fedgh,SGD,0.01,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,164,0.699238673,FALSE,FALSE,0.705394116
2023/9/3 16:25,2,fedgh,SGD,0.01,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,109,0.688240692,FALSE,FALSE,0.687562896
2023/9/3 16:29,0,fedgh,SGD,0.01,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,49,0.693917039,FALSE,FALSE,0.70459071
2023/9/3 16:32,1,fedgh,SGD,0.01,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,35,0.720719005,FALSE,FALSE,0.72215681
2023/9/3 16:37,2,fedgh,SGD,0.01,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,53,0.707669507,FALSE,FALSE,0.721451427
2023/9/3 16:42,0,fedgh,SGD,0.01,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,10,0.719385828,FALSE,FALSE,0.723700851
2023/9/3 16:48,1,fedgh,SGD,0.01,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,28,0.723419367,FALSE,FALSE,0.730065413
2023/9/3 16:53,2,fedgh,SGD,0.01,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,28,0.717501103,FALSE,FALSE,0.73023937
2023/9/3 16:58,0,fedgh,SGD,0.05,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,155,0.693885331,FALSE,FALSE,0.715747715
2023/9/3 17:03,1,fedgh,SGD,0.05,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,118,0.695050924,FALSE,FALSE,0.706164732
2023/9/3 17:08,2,fedgh,SGD,0.05,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,136,0.701223863,FALSE,FALSE,0.716666159
2023/9/3 17:12,0,fedgh,SGD,0.05,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,12,0.715418654,FALSE,FALSE,0.722307046
2023/9/3 17:15,1,fedgh,SGD,0.05,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,82,0.696832412,FALSE,FALSE,0.720166277
2023/9/3 17:19,2,fedgh,SGD,0.05,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,16,0.705254722,FALSE,FALSE,0.72649236
2023/9/3 17:23,0,fedgh,SGD,0.05,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.719441363,FALSE,FALSE,0.739488947
2023/9/3 17:27,1,fedgh,SGD,0.05,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.726136063,FALSE,FALSE,0.746219559
2023/9/3 17:30,2,fedgh,SGD,0.05,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.729939913,FALSE,FALSE,0.727475325
2023/9/3 17:32,0,fedgh,SGD,0.25,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,25,0.486661756,FALSE,FALSE,0.547780682
2023/9/3 17:34,1,fedgh,SGD,0.25,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,49,0.453880584,FALSE,FALSE,0.547892079
2023/9/3 17:35,2,fedgh,SGD,0.25,citeseer,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,36,0.454188304,FALSE,FALSE,0.52806248
2023/9/3 17:37,0,fedgh,SGD,0.25,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,38,0.489188281,FALSE,FALSE,0.53743441
2023/9/3 17:40,1,fedgh,SGD,0.25,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,62,0.378299419,FALSE,FALSE,0.502286354
2023/9/3 17:42,2,fedgh,SGD,0.25,citeseer,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,30,0.498747099,FALSE,FALSE,0.543582423
2023/9/3 17:46,0,fedgh,SGD,0.25,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.618993419,FALSE,FALSE,0.620400005
2023/9/3 17:51,1,fedgh,SGD,0.25,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.50386233,FALSE,FALSE,0.550109252
2023/9/3 17:55,2,fedgh,SGD,0.25,citeseer,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,8,0.570259455,FALSE,FALSE,0.59693934
