exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023/9/3 17:56,0,fedgh,SGD,0.01,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,51,0.556000286,FALSE,FALSE,0.646441043
2023/9/3 17:57,1,fedgh,SGD,0.01,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,33,0.478156748,FALSE,FALSE,0.494981743
2023/9/3 17:58,2,fedgh,SGD,0.01,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,27,0.587101052,FALSE,FALSE,0.624920897
2023/9/3 17:59,0,fedgh,SGD,0.01,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,14,0.556239578,FALSE,FALSE,0.641862289
2023/9/3 18:00,1,fedgh,SGD,0.01,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.401476002,FALSE,FALSE,0.402996683
2023/9/3 18:02,2,fedgh,SGD,0.01,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,6,0.556926391,FALSE,FALSE,0.621944706
2023/9/3 18:04,0,fedgh,SGD,0.01,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,3,0.555631306,FALSE,FALSE,0.650640463
2023/9/3 18:11,1,fedgh,SGD,0.01,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,121,0.818269889,FALSE,FALSE,0.8224736
2023/9/3 18:13,2,fedgh,SGD,0.01,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,1,0.49845369,FALSE,FALSE,0.586594716
2023/9/3 18:14,0,fedgh,SGD,0.05,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,36,0.608580765,FALSE,FALSE,0.671228442
2023/9/3 18:15,1,fedgh,SGD,0.05,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,8,0.497742021,FALSE,FALSE,0.591955073
2023/9/3 18:16,2,fedgh,SGD,0.05,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,5,0.603858626,FALSE,FALSE,0.620800018
2023/9/3 18:18,0,fedgh,SGD,0.05,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,69,0.491142722,FALSE,FALSE,0.49784289
2023/9/3 18:20,1,fedgh,SGD,0.05,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,1,0.494018808,FALSE,FALSE,0.540633537
2023/9/3 18:22,2,fedgh,SGD,0.05,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,0,0.490664139,FALSE,FALSE,0.491142722
2023/9/3 18:27,0,fedgh,SGD,0.05,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,52,0.847361414,FALSE,FALSE,0.855043949
2023/9/3 18:34,1,fedgh,SGD,0.05,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,144,0.855649501,FALSE,FALSE,0.868259718
2023/9/3 18:39,2,fedgh,SGD,0.05,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,153,0.852533267,FALSE,FALSE,0.861275232
2023/9/3 18:40,0,fedgh,SGD,0.25,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,10,0.582846487,FALSE,FALSE,0.609668243
2023/9/3 18:41,1,fedgh,SGD,0.25,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,35,0.574411211,FALSE,FALSE,0.581285826
2023/9/3 18:43,2,fedgh,SGD,0.25,pubmed,louvain,3,1,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,65,0.657248285,FALSE,FALSE,0.657298064
2023/9/3 18:44,0,fedgh,SGD,0.25,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,33,0.579646372,FALSE,FALSE,0.72092396
2023/9/3 18:46,1,fedgh,SGD,0.25,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,35,0.650550225,FALSE,FALSE,0.705372065
2023/9/3 18:48,2,fedgh,SGD,0.25,pubmed,louvain,3,4,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,29,0.676889761,FALSE,FALSE,0.707343081
2023/9/3 18:51,0,fedgh,SGD,0.25,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,11,0.732934512,FALSE,FALSE,0.772578829
2023/9/3 18:53,1,fedgh,SGD,0.25,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,10,0.676199035,FALSE,FALSE,0.750440434
2023/9/3 18:56,2,fedgh,SGD,0.25,pubmed,louvain,3,16,0.5,model_heterogeneity/model_settings/3_Heterogeneous_GNNs.yaml,3,0.734745431,FALSE,FALSE,0.748939571
