exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-03 22:15,0,fedkd,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.3717878456327849,False,False,0.3808870080963147
2023-09-03 22:17,1,fedkd,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,70,0.37542994615115316,False,False,0.374393067999683
2023-09-03 22:19,2,fedkd,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,62,0.3566154318396815,False,False,0.3580140332382828
2023-09-03 22:23,0,fedkd,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,176,0.7450183586879481,False,False,0.7406677001744528
2023-09-03 22:28,1,fedkd,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,185,0.7095486087272675,False,False,0.7121436967584611
2023-09-03 22:32,2,fedkd,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,161,0.7390960995166045,False,False,0.7243426887840426
2023-09-03 22:37,0,fedkd,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,39,0.7534056144262746,False,False,0.7592751885182014
2023-09-03 22:42,1,fedkd,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,23,0.7635718980477149,False,False,0.7594233543002289
2023-09-03 22:46,2,fedkd,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,22,0.765024448430298,False,False,0.7651435255823694
2023-09-03 22:49,0,fedkd,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,197,0.6916992033737147,False,False,0.6917906152298324
2023-09-03 22:50,1,fedkd,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,13,0.39292119504199635,False,False,0.4327859685376015
2023-09-03 22:53,2,fedkd,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,184,0.6687216679621522,False,False,0.6767920844356798
2023-09-03 22:56,0,fedkd,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,81,0.7602244760478168,False,False,0.7607652017729206
2023-09-03 22:59,1,fedkd,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,66,0.7555068087937272,False,False,0.7618333801483638
2023-09-03 23:01,2,fedkd,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,49,0.7549562854924411,False,False,0.7703616710393011
2023-09-03 23:05,0,fedkd,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.7572724189329231,False,False,0.7526754942456192
2023-09-03 23:08,1,fedkd,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.7542311884327348,False,False,0.753605877471326
2023-09-03 23:12,2,fedkd,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.7510872425149694,False,False,0.7598596991930414
2023-09-03 23:14,0,fedkd,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,141,0.7603390828432459,False,False,0.7718824383386905
2023-09-03 23:16,1,fedkd,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.768967277624828,False,False,0.7742880141219851
2023-09-03 23:19,2,fedkd,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,158,0.7613547355687098,False,False,0.7595787547972227
2023-09-03 23:20,0,fedkd,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.7576996570980093,False,False,0.7632929231652011
2023-09-03 23:22,1,fedkd,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.7462658852770447,False,False,0.7593445246704195
2023-09-03 23:24,2,fedkd,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.7562391608602018,False,False,0.770716401652178
2023-09-03 23:27,0,fedkd,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,2,0.7582659756626849,False,False,0.7542954811722015
2023-09-03 23:31,1,fedkd,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.740930328082756,False,False,0.7538669643422663
2023-09-03 23:34,2,fedkd,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.758509153087777,False,False,0.7585686916638128
