exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-03 16:07,0,fedkd,SGD,0.01,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,2,0.5480880718357249,False,False,0.5459604122612569
2023-09-03 16:09,1,fedkd,SGD,0.01,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,11,0.3593746379845657,False,False,0.37734755458076136
2023-09-03 16:11,2,fedkd,SGD,0.01,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,14,0.4145382879446293,False,False,0.40918268518177137
2023-09-03 16:13,0,fedkd,SGD,0.01,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,43,0.5438327526867888,False,False,0.5610292483063132
2023-09-03 16:17,1,fedkd,SGD,0.01,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,142,0.7847393438776149,False,False,0.779082272538441
2023-09-03 16:21,2,fedkd,SGD,0.01,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,177,0.8028507309807594,False,False,0.7993822658506919
2023-09-03 16:29,0,fedkd,SGD,0.01,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,54,0.8379996972575834,False,False,0.8301661879512408
2023-09-03 16:36,1,fedkd,SGD,0.01,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,52,0.8259362288842238,False,False,0.8290534761597057
2023-09-03 16:43,2,fedkd,SGD,0.01,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,67,0.8398063063568628,False,False,0.8314366380798509
2023-09-03 16:44,0,fedkd,SGD,0.05,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.5480880718357249,False,False,0.5459604122612569
2023-09-03 16:47,1,fedkd,SGD,0.05,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,79,0.6631449812404717,False,False,0.6537903267573192
2023-09-03 16:50,2,fedkd,SGD,0.05,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,180,0.6932117409296147,False,False,0.6785829831026845
2023-09-03 16:53,0,fedkd,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,80,0.8391086245808914,False,False,0.8346036346336023
2023-09-03 16:57,1,fedkd,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,99,0.835640159450824,False,False,0.8354542474491714
2023-09-03 16:59,2,fedkd,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,95,0.8460973526189894,False,False,0.8337502096559716
2023-09-03 17:03,0,fedkd,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,56,0.8403105086153237,False,False,0.8341134418935721
2023-09-03 17:07,1,fedkd,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,58,0.8352289658471689,False,False,0.8354110414369129
2023-09-03 17:11,2,fedkd,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,27,0.8403612821434401,False,False,0.8409114506325398
2023-09-03 17:14,0,fedkd,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,178,0.839458871549908,False,False,0.8290075099290668
2023-09-03 17:16,1,fedkd,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,196,0.8187468676073559,False,False,0.8203401041796884
2023-09-03 17:19,2,fedkd,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,112,0.8268472831871421,False,False,0.8279130044981915
2023-09-03 17:22,0,fedkd,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,60,0.8275727248330925,False,False,0.833098494110639
2023-09-03 17:24,1,fedkd,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,50,0.8269014273888873,False,False,0.8200434962651277
2023-09-03 17:26,2,fedkd,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,44,0.833919351920813,False,False,0.8407331061467452
2023-09-03 17:30,0,fedkd,SGD,0.25,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.8484785194037189,False,False,0.849053077089169
2023-09-03 17:34,1,fedkd,SGD,0.25,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,19,0.8432466511866306,False,False,0.8381828490408557
2023-09-03 17:37,2,fedkd,SGD,0.25,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,37,0.824576101365427,False,False,0.8506981114394646
