exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,proto_weight,local_eval_whole_test_dataset,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype
2023/9/5 15:57,0,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.379682741,FALSE,0.1,FALSE,0.385319059,0,0
2023/9/5 15:58,1,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,38,0.353856811,FALSE,0.1,FALSE,0.363929147,0,0
2023/9/5 16:00,2,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,41,0.37062578,FALSE,0.1,FALSE,0.388663115,0,0
2023/9/5 16:01,0,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,61,0.381062051,FALSE,1,FALSE,0.385319059,0,0
2023/9/5 16:03,1,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,39,0.353856811,FALSE,1,FALSE,0.35693614,0,0
2023/9/5 16:04,2,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,42,0.344758242,FALSE,1,FALSE,0.356395497,0,0
2023/9/5 16:05,0,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,77,0.371839604,FALSE,10,FALSE,0.38263256,0,0
2023/9/5 16:07,1,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,45,0.341443018,FALSE,10,FALSE,0.348942342,0,0
2023/9/5 16:08,2,fedproto,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,54,0.348266377,FALSE,10,FALSE,0.339593036,0,0
2023/9/5 16:11,0,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,158,0.705471336,FALSE,0.1,FALSE,0.694794348,0,0
2023/9/5 16:14,1,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,195,0.699120146,FALSE,0.1,FALSE,0.712334349,0,0
2023/9/5 16:16,2,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,136,0.728680765,FALSE,0.1,FALSE,0.713769715,0,0
2023/9/5 16:19,0,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,164,0.701366943,FALSE,1,FALSE,0.697702253,0,0
2023/9/5 16:21,1,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,188,0.703390856,FALSE,1,FALSE,0.70958831,0,0
2023/9/5 16:24,2,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,147,0.714311567,FALSE,1,FALSE,0.703578696,0,0
2023/9/5 16:26,0,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,190,0.522645237,FALSE,10,FALSE,0.557690767,0,0
2023/9/5 16:29,1,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,192,0.529312844,FALSE,10,FALSE,0.529444503,0,0
2023/9/5 16:31,2,fedproto,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,192,0.514620111,FALSE,10,FALSE,0.539754689,0,0
