exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,proto_weight,local_eval_whole_test_dataset,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype
2023-09-06 00:03,0,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,15,0.5966591952129082,False,0.1,False,0.6807946675836746,0.0,0.0
2023-09-06 00:03,1,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.6379512954909113,False,0.1,False,0.6397392847536103,0.0,0.0
2023-09-06 00:04,2,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.6786610478604935,False,0.1,False,0.6781005366639999,0.0,0.0
2023-09-06 00:05,0,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,15,0.5969101362417664,False,1.0,False,0.6812931333650081,0.0,0.0
2023-09-06 00:06,1,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.6379512954909113,False,1.0,False,0.6387355206381774,0.0,0.0
2023-09-06 00:07,2,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.6786610478604935,False,1.0,False,0.6781005366639999,0.0,0.0
2023-09-06 00:08,0,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,15,0.5979139003571993,False,10.0,False,0.6820493727279656,0.0,0.0
2023-09-06 00:09,1,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.6379512954909113,False,10.0,False,0.6377317565227445,0.0,0.0
2023-09-06 00:09,2,fedproto,SGD,0.01,pubmed,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.6786610478604935,False,10.0,False,0.6781005366639999,0.0,0.0
2023-09-06 00:11,0,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,0.1,False,0.6780741268750906,0.0,0.0
2023-09-06 00:12,1,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.6379512954909113,False,0.1,False,0.673083039531062,0.0,0.0
2023-09-06 00:13,2,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.6249546972850728,False,0.1,False,0.6787871393528089,0.0,0.0
2023-09-06 00:15,0,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,1.0,False,0.6780741268750906,0.0,0.0
2023-09-06 00:16,1,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.6379512954909113,False,1.0,False,0.673083039531062,0.0,0.0
2023-09-06 00:17,2,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.625311203523932,False,1.0,False,0.6787871393528089,0.0,0.0
2023-09-06 00:19,0,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.5946516669820425,False,10.0,False,0.6780741268750906,0.0,0.0
2023-09-06 00:20,1,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.6379512954909113,False,10.0,False,0.673083039531062,0.0,0.0
2023-09-06 00:21,2,fedproto,SGD,0.01,pubmed,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.6249546972850728,False,10.0,False,0.6787871393528089,0.0,0.0
2023-09-06 00:26,0,fedproto,SGD,0.01,pubmed,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,132,0.797983436812562,False,0.1,False,0.8051137289502494,0.0,0.0
2023-09-06 00:28,1,fedproto,SGD,0.01,pubmed,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.5951535490397589,False,0.1,False,0.5951535490397589,0.0,0.0
2023-09-06 00:33,2,fedproto,SGD,0.01,pubmed,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,120,0.8202328851071966,False,0.1,False,0.8170712252335836,0.0,0.0
2023-09-06 00:38,0,fedproto,SGD,0.01,pubmed,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,124,0.7853783954778393,False,1.0,False,0.7858802775355557,0.0,0.0
2023-09-06 00:39,1,fedproto,SGD,0.01,pubmed,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.5951535490397589,False,1.0,False,0.5951535490397589,0.0,0.0
