exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-13 17:59,0,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8911109403810695,159,0.5,0.5,5000,1,0.001,0.5,100,True,0.8952212661339889
2023-08-13 19:20,1,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8906269207129688,139,0.5,0.5,5000,1,0.001,0.5,100,True,0.8959050399508298
2023-08-13 20:42,2,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8912569145666872,199,0.5,0.5,5000,1,0.001,0.5,100,True,0.8941379840196679
2023-08-14 00:49,0,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,5,0.8921404425322681,119,0.5,0.5,5000,1,0.001,0.5,100,True,0.8963352796558082
2023-08-14 04:56,1,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,5,0.894998463429625,79,0.5,0.5,5000,1,0.001,0.5,100,True,0.9002765826674862
2023-08-14 09:01,2,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,5,0.893799938537185,19,0.5,0.5,5000,1,0.001,0.5,100,True,0.8966195451751691
2023-08-14 16:49,0,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,10,0.8945528580208973,59,0.5,0.5,5000,1,0.001,0.5,100,True,0.8977719729563614
2023-08-15 00:24,1,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,10,0.8925706822372463,99,0.5,0.5,5000,1,0.001,0.5,100,True,0.8960510141364475
2023-08-15 07:53,2,fedgh,256,Adam,0.01,SVHN@torchvision,lda,5,10,0.8917716656422865,139,0.5,0.5,5000,1,0.001,0.5,100,True,0.8946757836508912
2023-08-15 09:12,0,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.896120159803319,59,0.5,0.5,5000,1,0.001,0.5,100,True,0.8984711124769514
2023-08-15 10:30,1,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8968807621389059,59,0.5,0.5,5000,1,0.001,0.5,100,True,0.8992470805162878
2023-08-15 11:49,2,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8931622618315919,199,0.5,0.5,5000,1,0.001,0.5,100,True,0.8961739397664413
2023-08-15 15:53,0,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,5,0.8972572218807622,99,0.5,0.5,5000,1,0.001,0.5,100,True,0.8997771972956363
2023-08-15 19:53,1,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,5,0.8971573448063921,119,0.5,0.5,5000,1,0.001,0.5,100,True,0.9001075599262446
2023-08-15 23:58,2,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,5,0.8967271051014137,179,0.5,0.5,5000,1,0.001,0.5,100,True,0.8993469575906576
2023-08-16 07:20,0,fedgh,256,Adam,0.001,SVHN@torchvision,lda,5,10,0.8984634296250767,119,0.5,0.5,5000,1,0.001,0.5,100,True,0.9014366933005531
