exp_time,seed,method,batch_size,datasets,splitter,client_num,local_updates,test_acc,proto_weight,local_eval_whole_test_dataset
2023-07-09 15:32,0,fedproto,256,femnist,,5,1,0.6918495280995282,0.1,False
2023-07-09 15:34,1,fedproto,256,femnist,,5,1,0.7058773058773058,0.1,False
2023-07-09 15:36,2,fedproto,256,femnist,,5,1,0.7040717503217503,0.1,False
2023-07-09 15:39,0,fedproto,256,femnist,,5,10,0.7004719004719006,0.1,False
2023-07-09 15:43,1,fedproto,256,femnist,,5,10,0.7058773058773058,0.1,False
2023-07-09 15:46,2,fedproto,256,femnist,,5,10,0.6980995280995281,0.1,False
2023-07-09 15:48,0,fedproto,256,femnist,,5,1,0.6949163449163448,1.0,False
2023-07-09 15:50,1,fedproto,256,femnist,,5,1,0.7003217503217503,1.0,False
2023-07-09 15:52,2,fedproto,256,femnist,,5,1,0.7046160446160445,1.0,False
2023-07-09 15:54,0,fedproto,256,femnist,,5,10,0.6878217503217503,1.0,False
2023-07-09 16:01,1,fedproto,256,femnist,,5,10,0.7039216001716002,1.0,False
2023-07-09 16:04,2,fedproto,256,femnist,,5,10,0.6992106392106392,1.0,False
2023-07-09 16:06,0,fedproto,256,femnist,,5,1,0.536832368082368,10.0,False
2023-07-09 16:08,1,fedproto,256,femnist,,5,1,0.5429745817245817,10.0,False
2023-07-09 16:10,2,fedproto,256,femnist,,5,1,0.53499570999571,10.0,False
2023-07-09 16:15,0,fedproto,256,femnist,,5,10,0.6918495280995282,10.0,False
2023-07-09 16:22,1,fedproto,256,femnist,,5,10,0.6985161947661948,10.0,False
2023-07-09 16:28,2,fedproto,256,femnist,,5,10,0.6974050836550837,10.0,False
2023-07-09 16:33,0,fedproto,32,femnist,,5,1,0.7004719004719006,0.1,False
2023-07-09 16:36,1,fedproto,32,femnist,,5,1,0.7058773058773058,0.1,False
2023-07-09 16:37,2,fedproto,32,femnist,,5,1,0.7101716001716001,0.1,False
2023-07-09 16:44,0,fedproto,32,femnist,,5,10,0.6996273058773058,0.1,False
2023-07-09 16:52,1,fedproto,32,femnist,,5,10,0.7058773058773058,0.1,False
2023-07-09 16:55,2,fedproto,32,femnist,,5,10,0.6938052338052338,0.1,False
2023-07-09 16:57,0,fedproto,32,femnist,,5,1,0.6987827112827112,1.0,False
2023-07-09 16:59,1,fedproto,32,femnist,,5,1,0.7112827112827113,1.0,False
2023-07-09 17:01,2,fedproto,32,femnist,,5,1,0.6985161947661948,1.0,False
2023-07-09 17:10,0,fedproto,32,femnist,,5,10,0.7050327112827113,1.0,False
2023-07-09 17:19,1,fedproto,32,femnist,,5,10,0.7047661947661947,1.0,False
2023-07-09 17:27,2,fedproto,32,femnist,,5,10,0.6993607893607894,1.0,False
