exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,test_acc_based_on_local_proto,local_eval_whole_test_dataset,individual_best_bac_avg,individual_best_f1score_avg,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype,individual_avg_test_f1_with_global_prototype,individual_avg_test_pre_with_local_prototype
2024-04-13 21:30,0,fedpcl,SGD,0.05,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.08618181818181818,True,0.1941090909090909,True,0.1490576060768304,0.023975495686369662,0.08589090909090909,0.34647272727272727,0.1970909090909091,0.24686772262406836,0.1879493226898887
2024-04-13 22:09,1,fedpcl,SGD,0.05,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,30,0.08654545454545455,True,0.22087272727272725,True,0.14564315352697094,0.09458166895014566,0.16087272727272728,0.27883636363636366,0.11309090909090909,0.1801866321867802,0.2326786912620753
2024-04-13 22:52,2,fedpcl,SGD,0.05,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.08654545454545455,True,0.22559999999999997,True,0.1,0.013231133497650727,0.05149090909090909,0.14429090909090908,0.22734545454545457,0.08654735869003496,0.15
2024-04-14 00:52,0,fedpcl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.08654545454545455,True,0.15796363636363636,True,0.14682062307589344,0.025776364498083765,0.08436363636363635,0.36705454545454547,0.2013818181818182,0.2512707547743135,0.23635280599903244
2024-04-14 02:07,1,fedpcl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,4,0.19992727272727273,True,0.09454545454545456,True,0.14149377593360996,0.02326463487998932,0.08058181818181817,0.3493090909090909,0.20632727272727275,0.2460852152664629,0.21732341557813256
2024-04-14 03:33,2,fedpcl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,31,0.08574545454545454,True,0.11229090909090908,True,0.1425311203319502,0.023381107817116574,0.08130909090909091,0.18669090909090907,0.22014545454545456,0.13749819894553286,0.178875786163522
2024-04-14 12:24,0,fedpcl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,116,0.2237090909090909,True,0.09512727272727273,True,0.16666942519622885,0.09101804251157612,0.13170909090909091,0.2776727272727273,0.10858181818181818,0.17867919054795117,0.20039398158769953
2024-04-14 20:45,1,fedpcl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.25381818181818183,True,0.12334545454545456,True,0.19647302904564318,0.10563916912519891,0.19752727272727272,0.27643636363636365,0.14021818181818183,0.1776237192359526,0.2265501398181661
2024-04-15 03:02,2,fedpcl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,32,0.21403636363636364,True,0.10254545454545454,True,0.14730290456431536,0.023496385902434726,0.08465454545454545,0.18814545454545456,0.2849454545454545,0.10450918780269054,0.1747670868237689
2024-04-15 03:53,0,fedpcl,SGD,0.1,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.08610909090909091,True,0.1781818181818182,True,0.1490576060768304,0.023980533597272962,0.08589090909090909,0.2725090909090909,0.1837090909090909,0.17724364305891277,0.18419811320754717
2024-04-15 04:37,1,fedpcl,SGD,0.1,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,48,0.08574545454545454,True,0.2384,True,0.15,0.03193532551036989,0.10618181818181818,0.19476363636363636,0.23781818181818185,0.09921228858269121,0.25
2024-04-15 05:27,2,fedpcl,SGD,0.1,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,9,0.08654545454545455,True,0.18807272727272728,True,0.05,0.011024074385257382,0.03607272727272727,0.1597090909090909,0.19869090909090908,0.08875068587968162,0.2
