exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,test_acc_based_on_local_proto,local_eval_whole_test_dataset,individual_best_bac_avg,individual_best_f1score_avg,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype,individual_avg_test_f1_with_global_prototype,individual_avg_test_pre_with_local_prototype
2024-04-14 10:06,0,fedpcl,SGD,0.05,cora,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,48,0.175228712174525,True,0.4973023692235515,True,0.1829359925788497,0.08316773498660902,0.1623269997654234,0.5097349284541403,0.4968332160450387,0.4640960726503239,0.45290573729562383
2024-04-14 10:37,1,fedpcl,SGD,0.05,cora,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,141,0.38540933614825246,True,0.5238095238095238,True,0.3394039570528908,0.3083200274868962,0.3844710297912269,0.5465634529673938,0.5306122448979591,0.5082961764105646,0.4709167552430419
2024-04-14 11:10,2,fedpcl,SGD,0.05,cora,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,136,0.3574947220267418,True,0.5294393619516773,True,0.2908628884114323,0.27063704739674593,0.34600046915317856,0.5496129486277269,0.5385878489326765,0.49997684912412677,0.46399957579132733
2024-04-14 11:40,0,fedpcl,SGD,0.05,cora,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,20,0.5055125498475252,True,0.548440065681445,True,0.448680342844069,0.46576161772961255,0.5231057940417546,0.5730706075533661,0.5540699038235984,0.5377944746013453,0.5057910069788178
2024-04-14 12:02,1,fedpcl,SGD,0.05,cora,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,30,0.5139573070607554,True,0.5369458128078818,True,0.3926209179262518,0.3900424989296423,0.44710297912268354,0.5669716162327,0.5564156697161623,0.539073302292363,0.503911208229548
2024-04-14 12:30,2,fedpcl,SGD,0.05,cora,louvain,7,4,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,34,0.5228712174524982,True,0.5397607318789585,True,0.39588841293643695,0.43297291611652405,0.4968332160450387,0.5768238329814686,0.5641566971616233,0.5478794744039633,0.5071120321695826
2024-04-14 13:17,0,fedpcl,SGD,0.05,cora,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,4,0.5198217217921651,True,0.5456251466103683,True,0.45461476493237035,0.5001810991267027,0.5519587145202909,0.5653295801079051,0.5690828055360074,0.533968190973466,0.5023533488952963
2024-04-14 13:49,1,fedpcl,SGD,0.05,cora,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,9,0.5385878489326765,True,0.5543044804128547,True,0.43501363015843647,0.46718692533606465,0.5087966220971146,0.5751817968566737,0.5728360309641097,0.5529275047194602,0.5003378537206632
2024-04-14 14:20,2,fedpcl,SGD,0.05,cora,louvain,7,16,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,8,0.5179451090781141,True,0.5451559934318555,True,0.4546323552927006,0.47911906626148876,0.5306122448979592,0.5608726249120338,0.5665024630541872,0.5300546025935551,0.4962089427672768
2024-04-14 14:28,0,fedpcl,SGD,0.1,cora,louvain,7,1,0.5,model_heterogeneity/model_settings/7_Heterogeneous_GNNs.yaml,49,0.3260614590663852,True,0.49401829697396193,True,0.24542923155644866,0.17092017321912703,0.24958949096880131,0.5552427867698804,0.4947220267417312,0.4970485894034297,0.4672933276937165
