exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_bac_avg,individual_best_f1score_avg,individual_best_test_acc_avg
2024-04-14 19:21,0,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,4,0.08654545454545455,True,True,0.15,0.023686759060206983,0.08654545454545455
2024-04-14 20:04,1,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.21345454545454548,True,True,0.2250868443451431,0.11415932394203814,0.21723636363636362
2024-04-14 20:53,2,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.2,True,True,0.2,0.10581626760270854,0.2
2024-04-14 21:49,0,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,6,0.2,True,True,0.2,0.10581626760270854,0.2
2024-04-14 22:34,1,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.21345454545454548,True,True,0.22531120331950208,0.18548126009604632,0.29512727272727274
2024-04-14 23:31,2,fpl,SGD,0.05,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.2,True,True,0.2,0.10581626760270854,0.2
2024-04-15 06:18,0,fpl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,94,0.29359999999999997,True,True,0.2691984862837159,0.21538814314900775,0.32298181818181815
2024-04-15 11:48,1,fpl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,106,0.296,True,True,0.24368819049040907,0.20974288596321822,0.3069818181818182
2024-04-15 18:12,2,fpl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,96,0.29258181818181817,True,True,0.2535278010872811,0.21196932260779405,0.31418181818181823
2024-04-15 20:15,0,fpl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.08654545454545455,True,True,0.15,0.023686759060206983,0.08654545454545455
2024-04-16 01:56,1,fpl,SGD,0.05,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,99,0.17156363636363633,True,True,0.1909101238463941,0.12420681234601268,0.18545454545454546
