exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-08 00:42,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5461047940995698,84,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.6032882606023356
2023-08-08 02:57,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5451674861708666,1,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.5983481868469577
2023-08-08 04:17,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5233942839582053,35,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.5883988936693301
2023-08-08 06:02,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5450983405039951,7,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.5775507068223724
2023-08-08 07:33,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5124923171481254,41,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.5602335586969883
2023-08-08 08:54,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5104947756607252,10,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.5799247080516288
2023-08-08 10:59,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.567678242163491,25,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.6020359557467733
2023-08-08 11:59,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.5629379225568532,48,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.6171558082360172
2023-08-08 12:58,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.5547556853103872,48,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.6056161647203442
2023-08-08 13:57,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.5463352796558082,14,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.5785187461585741
2023-08-08 14:56,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.5593961278426554,2,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.5776505838967425
