exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-04 12:14,0,local,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.3471123290934534,False,False,0.35400888081759135
2023-09-04 12:16,1,local,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,79,0.36463130598131627,False,False,0.36463130598131627
2023-09-04 12:18,2,local,SGD,0.01,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,87,0.40705453972300837,False,False,0.40072542579895776
2023-09-04 12:20,0,local,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,161,0.6607305785388525,False,False,0.662182009686024
2023-09-04 12:22,1,local,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,189,0.7151949669155435,False,False,0.7055523767280585
2023-09-04 12:25,2,local,SGD,0.01,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,134,0.7380220208655125,False,False,0.7314860731530942
2023-09-04 12:28,0,local,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,15,0.7596911231218286,False,False,0.7596911231218286
2023-09-04 12:31,1,local,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.7530279929726771,False,False,0.7530279929726771
2023-09-04 12:34,2,local,SGD,0.01,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,14,0.7503057159197463,False,False,0.7503057159197463
2023-09-04 12:35,0,local,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,193,0.549646764899258,False,False,0.5470737525719642
2023-09-04 12:37,1,local,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,195,0.5828741824857853,False,False,0.5842534928306129
2023-09-04 12:38,2,local,SGD,0.05,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,136,0.5459793483325223,False,False,0.5426358302181618
2023-09-04 12:40,0,local,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,29,0.7609762369604124,False,False,0.7623555473052399
2023-09-04 12:41,1,local,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,36,0.755488063919256,False,False,0.755488063919256
2023-09-04 12:43,2,local,SGD,0.05,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,27,0.7503166327313402,False,False,0.754454563765823
2023-09-04 12:45,0,local,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.7641348589061557,False,False,0.7438996798613122
2023-09-04 12:47,1,local,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,6,0.7570915647339926,False,False,0.751441544740891
2023-09-04 12:51,2,local,SGD,0.05,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.7525455002819538,False,False,0.7525455002819538
2023-09-04 12:52,0,local,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,56,0.7666648390610618,False,False,0.7666648390610618
2023-09-04 12:53,1,local,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,99,0.7573139034829438,False,False,0.7615113730934623
2023-09-04 12:55,2,local,SGD,0.25,citeseer,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,51,0.7604074175523995,False,False,0.7604074175523995
2023-09-04 12:56,0,local,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,5,0.7652050336717103,False,False,0.7652050336717103
2023-09-04 12:57,1,local,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.7475644316198302,False,False,0.7402057772023524
2023-09-04 12:58,2,local,SGD,0.25,citeseer,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,6,0.7718609088140934,False,False,0.7534468568955834
2023-09-04 13:02,0,local,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,14,0.7519374282097392,False,False,0.7519374282097392
2023-09-04 13:04,1,local,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.7579444172865412,False,False,0.7438807131979315
2023-09-04 13:06,2,local,SGD,0.25,citeseer,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,0,0.7415624656639774,False,False,0.7294505882741066
