exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-04 10:12,0,local,SGD,0.01,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,0,0.48916796192166273,False,False,0.4935033846153304
2023-09-04 10:14,1,local,SGD,0.01,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,192,0.5235393524886152,False,False,0.5122660840182256
2023-09-04 10:16,2,local,SGD,0.01,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,50,0.5286930856783065,False,False,0.5167888931069691
2023-09-04 10:19,0,local,SGD,0.01,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,64,0.7448913691505255,False,False,0.7421739778461776
2023-09-04 10:22,1,local,SGD,0.01,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,65,0.7754442699796369,False,False,0.7671713231197336
2023-09-04 10:26,2,local,SGD,0.01,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,59,0.7613235934033875,False,False,0.7500351773277375
2023-09-04 10:32,0,local,SGD,0.01,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,37,0.7972266900631837,False,False,0.7928149253573012
2023-09-04 10:38,1,local,SGD,0.01,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,27,0.8016110529988847,False,False,0.7973557338499486
2023-09-04 10:44,2,local,SGD,0.01,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,102,0.8002839805109317,False,False,0.797626975680014
2023-09-04 10:45,0,local,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,110,0.6879338497875536,False,False,0.6823179077585679
2023-09-04 10:48,1,local,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,93,0.7384162057813262,False,False,0.739805094670215
2023-09-04 10:50,2,local,SGD,0.05,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,101,0.7032629915523346,False,False,0.7026749947146473
2023-09-04 10:52,0,local,SGD,0.05,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,15,0.8020113544685697,False,False,0.7954719301882192
2023-09-04 10:55,1,local,SGD,0.05,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,53,0.80719275234529,False,False,0.80719275234529
2023-09-04 10:58,2,local,SGD,0.05,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,59,0.7982167074098937,False,False,0.8009944851876714
2023-09-04 11:02,0,local,SGD,0.05,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,7,0.8083768747747495,False,False,0.8083768747747495
2023-09-04 11:06,1,local,SGD,0.05,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,4,0.8065083914594,False,False,0.8065083914594
2023-09-04 11:10,2,local,SGD,0.05,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,7,0.7999240132754646,False,False,0.7999240132754647
2023-09-04 11:11,0,local,SGD,0.25,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,26,0.7823367450054919,False,False,0.7765315420100544
2023-09-04 11:13,1,local,SGD,0.25,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,97,0.7977049925188426,False,False,0.7931178731182367
2023-09-04 11:15,2,local,SGD,0.25,cora,louvain,10,1,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,107,0.8005147188130364,False,False,0.8024994151305878
2023-09-04 11:18,0,local,SGD,0.25,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,13,0.812680796343377,False,False,0.8082690316374948
2023-09-04 11:20,1,local,SGD,0.25,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,9,0.7978092835106017,False,False,0.8005870612883793
2023-09-04 11:22,2,local,SGD,0.25,cora,louvain,10,4,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,27,0.7882338450095767,False,False,0.7882338450095767
2023-09-04 11:28,0,local,SGD,0.25,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.8097086451640647,False,False,0.8097086451640647
2023-09-04 11:32,1,local,SGD,0.25,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.798113205079229,False,False,0.79666392971691
2023-09-04 11:34,2,local,SGD,0.25,cora,louvain,10,16,0.5,model_heterogeneity/model_settings/10_Heterogeneous_GNNs.yaml,1,0.8128561510381005,False,False,0.8081516230351016
