exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023/7/27 18:09,0,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.893108482,129,0.5,0.5,5000,1,0.001,100,TRUE,0.89442225
2023/7/27 19:26,1,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.890596189,150,0.5,0.5,5000,1,0.001,100,TRUE,0.892632145
2023/7/27 20:52,2,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.893922864,129,0.5,0.5,5000,1,0.001,100,TRUE,0.893922864
2023/7/27 21:59,0,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.794022741,148,0.5,0.5,5000,1,0.001,1,TRUE,0.794022741
2023/7/27 23:02,1,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.792609096,82,0.5,0.5,5000,1,0.001,1,TRUE,0.792609096
2023/7/28 0:16,2,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.77712815,122,0.5,0.5,5000,1,0.001,1,TRUE,0.799346958
2023/7/28 1:30,0,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.466894591,75,0.5,0.5,5000,1,0.001,0.1,TRUE,0.466894591
2023/7/28 2:40,1,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.468853719,48,0.5,0.5,5000,1,0.001,0.1,TRUE,0.468853719
2023/7/28 3:28,2,local,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.455600799,44,0.5,0.5,5000,1,0.001,0.1,TRUE,0.463222188
2023/7/28 4:55,0,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.901551936,137,0.5,0.5,5000,1,0.001,100,TRUE,0.901551936
2023/7/28 6:15,1,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.901083282,182,0.5,0.5,5000,1,0.001,100,TRUE,0.901083282
2023/7/28 7:47,2,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.900076829,118,0.5,0.5,5000,1,0.001,100,TRUE,0.901044868
2023/7/28 8:55,0,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.81478949,86,0.5,0.5,5000,1,0.001,1,TRUE,0.81478949
2023/7/28 10:19,1,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.816087892,106,0.5,0.5,5000,1,0.001,1,TRUE,0.816087892
2023/7/28 11:31,2,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.811078672,72,0.5,0.5,5000,1,0.001,1,TRUE,0.815027658
2023/7/28 12:42,0,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.477059004,38,0.5,0.5,5000,1,0.001,0.1,TRUE,0.477059004
2023/7/28 13:43,1,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.47702059,40,0.5,0.5,5000,1,0.001,0.1,TRUE,0.47702059
2023/7/28 14:45,2,local,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.477496927,83,0.5,0.5,5000,1,0.001,0.1,TRUE,0.477496927
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.477059004,0.477059004,,,,,,,,,,
,,,,,,,,0.47702059,0.47702059,,,,,,,,,,
,,,,,,,,0.477496927,0.477496927,,,,,,,,,,
,,,,,,,,0.477192174,0.000264622,,,,,,,,,,
