exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-01 07:31,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.823740012292563,4,0.5,0.5,5000,1,0.001,0.0,100,True,0.8319299323909035
2023-08-01 20:51,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8093423478795329,17,0.5,0.5,5000,1,0.001,0.5,100,True,0.8241779348494163
2023-08-02 09:31,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8010448678549477,0,0.5,0.5,5000,5,0.001,0.0,100,True,0.8077212661339889
2023-08-02 22:08,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.8010448678549477,0,0.5,0.5,5000,5,0.001,0.5,100,True,0.8077212661339889
2023-08-03 10:27,0,fedmd,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8778887523048555,0,0.5,0.5,5000,1,0.001,0.0,100,True,0.8840350338045482
2023-08-03 22:52,0,fedmd,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8778887523048555,0,0.5,0.5,5000,1,0.001,0.5,100,True,0.8840350338045482
2023-08-04 12:08,0,fedmd,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8619852489244006,0,0.5,0.5,5000,5,0.001,0.0,100,True,0.873317455439459
2023-08-05 01:24,0,fedmd,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.8619852489244006,0,0.5,0.5,5000,5,0.001,0.5,100,True,0.873317455439459
2023-08-05 15:06,0,fedmd,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.8610018438844499,30,0.5,0.5,5000,1,0.001,0.0,100,True,0.8701290719114935
2023-08-06 04:36,0,fedmd,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.8610018438844499,30,0.5,0.5,5000,1,0.001,0.5,100,True,0.8701290719114935
2023-08-06 18:52,0,fedmd,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.8595728334357714,50,0.5,0.5,5000,5,0.001,0.0,100,True,0.8643054701905347
2023-08-07 09:12,0,fedmd,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.8595728334357714,50,0.5,0.5,5000,5,0.001,0.5,100,True,0.8643054701905347
2023-08-07 19:23,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.7393746158574063,0,0.5,0.5,5000,1,0.001,0.0,1.0,True,0.7511754763368161
2023-08-08 02:10,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.7350414874001229,0,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.745582360172096
2023-08-08 09:34,0,fedmd,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.7018899815611556,0,0.5,0.5,5000,5,0.001,0.0,1.0,True,0.7395052243392748
