exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-07-31 19:58,0,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6449400000000001,166,0.5,0.5,5000,1,0.001,0.5,100,True,0.6488799999999999
2023-07-31 21:45,1,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.64178,133,0.5,0.5,5000,1,0.001,0.5,100,True,0.64464
2023-07-31 23:29,2,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6465,183,0.5,0.5,5000,1,0.001,0.5,100,True,0.64836
2023-08-01 00:54,0,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.68242,107,0.5,0.5,5000,1,0.001,0.5,100,True,0.68846
2023-08-01 02:09,1,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.68326,68,0.5,0.5,5000,1,0.001,0.5,100,True,0.68326
2023-08-01 03:43,2,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.6855800000000001,81,0.5,0.5,5000,1,0.001,0.5,100,True,0.6876599999999999
2023-08-01 05:32,0,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.63558,165,0.5,0.5,5000,1,0.001,0.5,100,True,0.6393
2023-08-01 07:23,1,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.63234,193,0.5,0.5,5000,1,0.001,0.5,100,True,0.6357
2023-08-01 09:11,2,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.6349600000000001,199,0.5,0.5,5000,1,0.001,0.5,100,True,0.63726
2023-08-01 10:44,0,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.57182,156,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.58736
2023-08-01 12:28,1,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.56532,151,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.57932
2023-08-01 14:02,2,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.56072,121,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.5748
2023-08-01 15:46,0,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.62176,123,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.6323399999999999
2023-08-01 16:51,1,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.6054200000000001,49,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.6192399999999999
2023-08-01 18:13,2,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.62334,72,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.62334
2023-08-01 20:12,0,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.5748,192,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.57792
2023-08-01 21:59,1,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.57054,159,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.5744
2023-08-01 23:50,2,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.57768,196,0.5,0.5,5000,1,0.001,0.5,1.0,True,0.57768
2023-08-02 01:42,0,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.31828,131,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.32016
2023-08-02 03:07,1,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.32004,134,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.32004
2023-08-02 04:18,2,local,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.32317999999999997,128,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.32317999999999997
2023-08-02 05:15,0,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.34338,54,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.34338
2023-08-02 06:37,1,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.34446,116,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.34446
2023-08-02 07:41,2,local,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.34206000000000003,78,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.34206000000000003
2023-08-02 09:02,0,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.33009999999999995,189,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.33028
2023-08-02 10:49,1,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.32555999999999996,180,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.33072
2023-08-02 12:36,2,local,256,Adam,0.0001,CIFAR10@torchvision,lda,5,1,0.32819999999999994,171,0.5,0.5,5000,1,0.001,0.5,0.1,True,0.32911999999999997
