exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-07-31 20:57,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6955600000000002,94,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.7038200000000001
2023-07-31 22:58,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.48308,34,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.52582
2023-08-01 12:05,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.69512,172,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.7057
2023-08-01 13:01,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.49466,85,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.54386
2023-08-01 14:42,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.70568,167,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.71858
2023-08-01 16:06,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.53224,102,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.5715600000000001
2023-08-01 17:58,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.7057,62,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.71812
2023-08-01 19:55,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.5225800000000002,42,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.56104
2023-08-01 21:25,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.69616,98,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.71086
2023-08-01 22:46,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.51556,46,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,fashion_minist,True,0.54016
2023-08-02 00:41,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.70682,165,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.71588
2023-08-02 01:52,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.51784,62,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,fashion_minist,True,0.55152
2023-08-02 03:45,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.7064,135,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.71478
2023-08-02 04:55,0,fccl,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.5113,95,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,fashion_minist,True,0.55144
2023-08-02 05:39,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.7077600000000001,41,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.7154800000000001
2023-08-02 06:29,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.5241800000000001,21,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.56074
2023-08-02 08:21,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.7208399999999999,191,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.72604
2023-08-02 09:05,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.53394,16,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.56054
2023-08-02 09:59,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.7104799999999999,55,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.7203
2023-08-02 10:46,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.5353,50,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.56154
2023-08-02 11:18,0,fccl,256,Adam,0.001,CIFAR10@torchvision,lda,5,1,0.70984,5,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.7132400000000001
