exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-07-31 21:58,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5366933005531653,127,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.6338352796558082
2023-08-01 01:09,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.3220497848801475,24,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.40668408113091575
2023-08-01 12:04,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5224723417332514,18,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.6260525507068224
2023-08-01 13:01,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.3546327596803934,38,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.44718039336201604
2023-08-01 14:23,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5197910264290104,41,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.6171481253841425
2023-08-01 16:22,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.35539336201598026,15,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.44817148125384143
2023-08-01 19:10,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5492470805162876,52,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.6258988936693302
2023-08-01 21:02,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.3155039950829748,76,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.3960433312845728
2023-08-01 23:59,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.4859864781807007,13,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.5832437000614629
2023-08-02 01:56,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.3162645974185617,50,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,fashion_minist,True,0.42294867854947754
2023-08-02 03:37,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.49450676090964957,59,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.6079824830977258
2023-08-02 05:27,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.32450061462815,57,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,fashion_minist,True,0.42248770743700065
2023-08-02 07:49,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.5002535341118624,59,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.5887523048555624
2023-08-02 09:39,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.3034572833435772,46,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,fashion_minist,True,0.40195912722802707
2023-08-02 10:38,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.5062922556853103,9,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.563560233558697
2023-08-02 12:18,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.32987861094038107,82,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.4084818684695759
2023-08-02 13:14,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.49867854947756607,9,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.5613322065150584
2023-08-02 14:29,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.34496004917025197,17,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.39809465273509526
2023-08-02 15:31,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.47294867854947753,31,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.5192224953902889
2023-08-02 16:37,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.3433389674247081,40,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.4064689612784266
2023-08-02 17:28,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.46797019053472655,3,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.5283881376767056
2023-08-02 18:26,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.3388752304855563,8,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,fashion_minist,True,0.41105562384757216
2023-08-02 20:08,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.4883912108174554,54,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.5712507682851875
2023-08-02 21:18,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.3642440073755378,20,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,fashion_minist,True,0.4177089735709895
2023-08-02 22:27,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.4509603564843269,66,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.4863475722188076
2023-08-02 23:37,0,fccl,256,Adam,0.001,SVHN@torchvision,lda,5,1,0.31422864167178854,61,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,fashion_minist,True,0.3838352796558082
2023-08-03 00:44,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.4603334357713583,1,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,cifar100,True,0.49158727719729567
2023-08-03 01:35,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.31384449907805784,1,0.5,0.5,5000,1,0.001,0.5,100,0.0051,0,fashion_minist,True,0.3407882606023356
2023-08-03 02:53,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.5129456054087277,35,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,cifar100,True,0.5248770743700062
2023-08-03 03:59,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.33740012292563,3,0.5,0.5,5000,1,0.001,0.5,100,0.0051,1,fashion_minist,True,0.385740626920713
