exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-07-31 21:03,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.5369599999999999,198,0.3,0.3,5000,1,0.001,0.5,100,True,0.54864
2023-08-01 00:04,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.56928,195,0.3,0.5,5000,1,0.001,0.5,100,True,0.58256
2023-08-01 02:58,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.552,187,0.3,1.0,5000,1,0.001,0.5,100,True,0.56782
2023-08-01 06:05,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6047399999999999,196,0.5,0.3,5000,1,0.001,0.5,100,True,0.61524
2023-08-01 08:35,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6023799999999999,199,0.5,0.5,5000,1,0.001,0.5,100,True,0.61808
2023-08-01 10:56,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.607,158,0.5,1.0,5000,1,0.001,0.5,100,True,0.6175999999999999
2023-08-01 13:39,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6340600000000001,174,1.0,0.3,5000,1,0.001,0.5,100,True,0.6504000000000001
2023-08-01 15:53,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6340600000000001,174,1.0,0.5,5000,1,0.001,0.5,100,True,0.6504000000000001
2023-08-01 18:10,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,1,0.6340600000000001,174,1.0,1.0,5000,1,0.001,0.5,100,True,0.6504000000000001
2023-08-01 22:56,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.61046,96,0.3,0.3,5000,1,0.001,0.5,100,True,0.6237600000000001
2023-08-02 07:37,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.62888,154,0.3,0.5,5000,1,0.001,0.5,100,True,0.6427
2023-08-02 14:58,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.62602,116,0.3,1.0,5000,1,0.001,0.5,100,True,0.6437999999999999
2023-08-02 20:00,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.63978,106,0.5,0.3,5000,1,0.001,0.5,100,True,0.6557799999999999
2023-08-03 01:08,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.6449,143,0.5,0.5,5000,1,0.001,0.5,100,True,0.6540199999999999
2023-08-03 07:04,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.63788,118,0.5,1.0,5000,1,0.001,0.5,100,True,0.65012
2023-08-03 11:04,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.63816,50,1.0,0.3,5000,1,0.001,0.5,100,True,0.65232
2023-08-03 15:02,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.63816,50,1.0,0.5,5000,1,0.001,0.5,100,True,0.65232
2023-08-03 19:40,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,5,0.63816,50,1.0,1.0,5000,1,0.001,0.5,100,True,0.65232
2023-08-04 04:12,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.62278,94,0.3,0.3,5000,1,0.001,0.5,100,True,0.6345599999999999
2023-08-04 14:14,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6352,82,0.3,0.5,5000,1,0.001,0.5,100,True,0.6465
2023-08-04 23:27,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6410199999999999,64,0.3,1.0,5000,1,0.001,0.5,100,True,0.65202
2023-08-05 05:43,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6365000000000001,75,0.5,0.3,5000,1,0.001,0.5,100,True,0.64882
2023-08-05 12:24,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.63868,58,0.5,0.5,5000,1,0.001,0.5,100,True,0.65284
2023-08-06 02:33,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6436400000000001,143,0.5,1.0,5000,1,0.001,0.5,100,True,0.65468
2023-08-06 14:42,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6458,46,1.0,0.3,5000,1,0.001,0.5,100,True,0.65944
2023-08-07 02:40,0,FedAvg,256,Adam,0.01,CIFAR10@torchvision,lda,5,10,0.6458,46,1.0,0.5,5000,1,0.001,0.5,100,True,0.65944
